Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Net Assets
93,3823,Abdus Sayeed,JANGIPUR,SUCI(C),0,12th Pass,1204412,0,1204412
94,2800,Abha Pandey,MAHASAMUND,Chhattisgarh Swabhiman Manch,0,8th Pass,5708000,150000,5558000
95,5628,Abhay Subrao Kulkarni,THANE,IND,0,8th Pass,2000,0,2000
96,3362,Abhijit Anil Apte,MAVAL,IND,0,12th Pass,462306,0,462306
97,4831,Abhijit Mukherjee,JANGIPUR,INC,0,Graduate Professional,63014502,15160000,47854502
98,5629,Abhijit Ramesh Panse,THANE,MNS,1,Graduate,6995050,5800000,1195050
99,4834,Abhijit Sarkar,JANGIPUR,IND,0,5th Pass,92600,0,92600
100,3643,Abhijit Shriram Hegshetye,RATNAGIRI SINDHUDURG,AAP,0,Post Graduate,20692366,4273594,16418772
101,6644,Abhilakh Rawat,BARABANKI,IND,0,10th Pass,427900,0,427900
102,3,Abhimod,PALAKKAD,IND,0,Post Graduate,2908779,370000,2538779
103,2316,Abhinesh Maharshi,CHURU,BSP,0,Post Graduate,38238575,4130000,34108575
104,6688,Abhishek Mishra,LUCKNOW,SP,0,Doctorate,15197365,700000,14497365
105,107,Abhishek Singh,RAJNANDGAON,BJP,0,Graduate Professional,44093207,0,44093207
106,253,Aboobacker Siddique,KASARAGOD,IND,0,8th Pass,38000,0,38000
107,1896,Aboobakker Sidique,PALAKKAD,AITC,0,Illiterate,47004,0,47004
108,1855,Abraham Benhur,WAYANAD,IND,0,Post Graduate,9999242,1421961,8577281
109,1507,Abrar Ahmad Mahmud Khan,YAVATMAL-WASHIM,Welfare Party of India,0,Others,6299991,700000,5599991
110,5836,Abrar Beg Sarvar Beg Mirza,JALGAON,Republican Party of India,0,8th Pass,85000,0,85000
111,7218,Abu Farhan Azmi,MUMBAI NORTH CENTRAL,SP,0,12th Pass,637688791,15872212,621816579
112,4363,Abu Hasem Kahn Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,11560825,654320,10906505
113,5046,Abu Naseem Khan,MAINPURI,Peace Party,0,12th Pass,5225000,160000,5065000
114,4475,Abu Qaiser,BHAGALPUR,JD(U),1,Graduate,45138014,1700000,43438014
115,4427,Abul Awal,BARPETA,SP,0,12th Pass,1224844,379980,844864
116,4015,Abul Hasan,RANCHI,IND,0,Post Graduate,165500,0,165500
117,4360,Abul Hasnat Khan,MALDAHA DAKSHIN,CPI(M),0,Post Graduate,10785663,0,10785663
118,6063,Abul Qasem,ULUBERIA,Indian Unity Centre,0,Post Graduate,4613889,0,4613889
119,277,Abullais.T.P,PONNANI,IND,0,12th Pass,6692346,0,6692346
120,3194,Acharya Pramod Krishnam,SAMBHAL,INC,0,Post Graduate,49900443,0,49900443
121,1151,Achutananda Nag,BOLANGIR,Ambedkarite Party of India,0,Graduate Professional,208500,0,208500
122,5190,Ad. Dr. Kolekar Anita Balasaheb,BHIWANDI,Prabuddha Republican Party,0,Doctorate,450000,0,450000
123,7622,Ad. Mahesh Vitthalrao Kharat,JALNA,IND,0,Post Graduate,123000,0,123000
